A
t S I R
23.2 68.426 110.458 221.116
23.3 68.4415 110.452 221.106
23.4 68.4571 110.447 221.096
23.5 68.4728 110.441 221.086
23.6 68.4886 110.436 221.076
23.7 68.5044 110.43 221.066
23.8 68.5203 110.424 221.055
23.9 68.5363 110.419 221.045
24 68.5523 110.413 221.035
24.1 68.5684 110.407 221.024
24.2 68.5846 110.402 221.014
24.3 68.6009 110.396 221.003
24.4 68.6172 110.39 220.993
24.5 68.6336 110.384 220.982
24.6 68.65 110.379 220.971
24.7 68.6666 110.373 220.961
24.8 68.6832 110.367 220.95
24.9 68.6999 110.361 220.939
25 68.7166 110.355 220.928
25.1 68.7335 110.349 220.917
25.2 68.7504 110.343 220.906
25.3 68.7673 110.337 220.895
25.4 68.7844 110.331 220.884
25.5 68.8015 110.325 220.873
25.6 68.8187 110.319 220.862
25.7 68.8359 110.313 220.851
25.8 68.8533 110.307 220.84
25.9 68.8707 110.301 220.828
26 68.8881 110.295 220.817
26.1 68.9057 110.289 220.806
26.2 68.9233 110.282 220.794
26.3 68.941 110.276 220.783
26.4 68.9587 110.27 220.771
26.5 68.9766 110.264 220.76
26.6 68.9945 110.257 220.748
26.7 69.0125 110.251 220.736
26.8 69.0305 110.245 220.725
26.9 69.0486 110.238 220.713
27 69.0668 110.232 220.701
27.1 69.0851 110.226 220.689
27.2 69.1035 110.219 220.677
27.3 69.1219 110.213 220.665
27.4 69.1404 110.206 220.653
27.5 69.1589 110.2 220.641
27.6 69.1776 110.193 220.629
27.7 69.1963 110.187 220.617
27.8 69.215 110.18 220.605
27.9 69.2339 110.173 220.593
28 69.2528 110.167 220.58
28.1 69.2718 110.16 220.568
28.2 69.2909 110.153 220.556
28.3 69.31 110.147 220.543
28.4 69.3293 110.14 220.531
28.5 69.3486 110.133 220.518
28.6 69.3679 110.126 220.506
28.7 69.3874 110.12 220.493
28.8 69.4069 110.113 220.48
28.9 69.4265 110.106 220.468
29 69.4461 110.099 220.455
29.1 69.4659 110.092 220.442
29.2 69.4857 110.085 220.429
29.3 69.5056 110.078 220.416
29.4 69.5255 110.071 220.403
29.5 69.5456 110.064 220.39
29.6 69.5657 110.057 220.377
29.7 69.5858 110.05 220.364
29.8 69.6061 110.043 220.351
29.9 69.6264 110.036 220.338
30 69.6468 110.029 220.324
30.1 69.6673 110.022 220.311
