A
t S I R
2.1525 65 130 205
2.155 65 130 205
2.1575 65 130 205
2.16 65 130 205
2.1625 65 130 205
2.165 65 129 206
2.1675 65 129 206
2.17 65 129 206
2.1725 65 129 206
2.175 65 129 206
2.1775 66 129 205
2.18 66 130 204
2.1825 65 131 204
2.185 65 131 204
2.1875 65 130 205
2.19 66 130 204
2.1925 67 130 203
2.195 67 129 204
2.1975 67 128 205
2.2 67 128 205
2.2025 68 128 204
2.205 67 129 204
2.2075 67 129 204
2.21 67 129 204
2.2125 68 129 203
2.215 68 128 204
2.2175 68 128 204
2.22 68 127 205
2.2225 68 127 205
2.225 68 127 205
2.2275 68 127 205
2.23 68 127 205
2.2325 68 127 205
2.235 68 127 205
2.2375 68 127 205
2.24 68 126 206
2.2425 68 126 206
2.245 68 126 206
2.2475 68 126 206
2.25 68 126 206
2.2525 68 125 207
2.255 68 124 208
2.2575 67 125 208
2.26 67 125 208
2.2625 67 124 209
2.265 67 125 208
2.2675 67 124 209
2.27 66 124 210
2.2725 65 125 210
2.275 65 125 210
2.2775 65 125 210
2.28 64 125 211
2.2825 64 126 210
2.285 63 127 210
2.2875 62 128 210
2.29 62 127 211
2.2925 63 127 210
2.295 63 126 211
2.2975 63 126 211
2.3 64 126 210
2.3025 64 126 210
2.305 65 125 210
2.3075 65 124 211
2.31 66 124 210
2.3125 65 125 210
2.315 64 125 211
2.3175 63 126 211
2.32 63 125 212
2.3225 63 125 212
2.325 63 124 213
2.3275 63 124 213
2.33 63 124 213
2.3325 63 124 213
2.335 64 124 212
2.3375 64 124 212
2.34 64 123 213
2.3425 64 123 213
2.345 63 123 214
2.3475 64 123 213
2.35 64 123 213
2.3525 65 123 212
2.355 65 122 213
2.3575 66 122 212
2.36 66 123 211
2.3625 66 122 212
2.365 66 122 212
2.3675 66 122 212
2.37 65 123 212
2.3725 66 122 212
2.375 67 122 211
2.3775 66 122 212
2.38 66 122 212
2.3825 66 122 212
2.385 67 122 211
2.3875 67 121 212
2.39 67 121 212
2.3925 67 120 213
2.395 68 120 212
2.3975 69 120 211
2.4 69 120 211
2.4025 69 120 211
2.405 70 120 210
2.4075 70 120 210
2.41 70 119 211
2.4125 70 118 212
2.415 70 118 212
2.4175 70 118 212
2.42 69 119 212
2.4225 69 119 212
2.425 69 119 212
2.4275 68 120 212
2.43 69 120 211
2.4325 69 120 211
2.435 70 119 211
2.4375 70 120 210
2.44 70 120 210
2.4425 69 121 210
2.445 69 122 209
2.4475 69 122 209
2.45 69 122 209
2.4525 69 122 209
2.455 70 122 208
2.4575 71 122 207
2.46 72 122 206
2.4625 72 122 206
2.465 72 122 206
2.4675 71 123 206
2.47 71 122 207
2.4725 71 121 208
2.475 70 122 208
2.4775 70 121 209
2.48 71 121 208
2.4825 71 121 208
2.485 71 121 208
2.4875 71 121 208
2.49 71 121 208
2.4925 71 121 208
2.495 71 121 208
2.4975 71 121 208
2.5 70 121 209
2.5025 70 120 210
2.505 70 120 210
2.5075 71 120 209
2.51 71 120 209
2.5125 71 120 209
2.515 72 120 208
2.5175 72 120 208
2.52 71 120 209
2.5225 71 120 209
2.525 71 120 209
2.5275 72 120 208
2.53 72 121 207
2.5325 72 121 207
2.535 72 121 207
2.5375 72 121 207
2.54 72 120 208
2.5425 72 120 208
2.545 72 120 208
2.5475 72 120 208
2.55 72 121 207
2.5525 73 120 207
2.555 73 119 208
2.5575 72 120 208
2.56 72 119 209
2.5625 72 118 210
2.565 72 118 210
2.5675 71 119 210
2.57 71 118 211
2.5725 72 118 210
2.575 71 119 210
2.5775 71 119 210
2.58 72 118 210
2.5825 73 118 209
2.585 73 118 209
2.5875 73 118 209
2.59 72 119 209
2.5925 71 120 209
2.595 71 119 210
2.5975 72 118 210
2.6 72 118 210
2.6025 72 118 210
2.605 72 118 210
2.6075 72 118 210
2.61 72 118 210
2.6125 73 118 209
2.615 72 119 209
2.6175 71 120 209
2.62 71 120 209
2.6225 71 120 209
2.625 72 119 209
2.6275 71 120 209
2.63 71 120 209
2.6325 71 120 209
2.635 71 119 210
2.6375 72 119 209
2.64 72 119 209
2.6425 72 118 210
2.645 71 118 211
2.6475 71 118 211
2.65 70 119 211
2.6525 70 119 211
2.655 69 120 211
2.6575 69 120 211
2.66 69 120 211
2.6625 68 120 212
2.665 67 121 212
2.6675 68 121 211
2.67 68 122 210
2.6725 67 123 210
2.675 67 122 211
2.6775 67 121 212
2.68 66 122 212
2.6825 66 122 212
2.685 67 122 211
2.6875 67 122 211
2.69 67 122 211
2.6925 67 121 212
2.695 68 120 212
2.6975 68 120 212
2.7 68 121 211
2.7025 68 121 211
2.705 67 122 211
2.7075 67 122 211
2.71 67 122 211
2.7125 68 121 211
2.715 68 121 211
2.7175 68 121 211
2.72 68 120 212
2.7225 68 120 212
2.725 68 120 212
