A
t S I R
1.505 54 165 181
1.5075 54 165 181
1.51 54 164 182
1.5125 54 164 182
1.515 55 164 181
1.5175 55 165 180
1.52 55 165 180
1.5225 55 166 179
1.525 55 165 180
1.5275 55 165 180
1.53 55 165 180
1.5325 55 165 180
1.535 55 164 181
1.5375 55 164 181
1.54 56 164 180
1.5425 55 164 181
1.545 55 163 182
1.5475 56 163 181
1.55 56 163 181
1.5525 56 163 181
1.555 56 162 182
1.5575 56 161 183
1.56 56 161 183
1.5625 56 161 183
1.565 56 161 183
1.5675 56 161 183
1.57 55 161 184
1.5725 54 161 185
1.575 54 161 185
1.5775 55 161 184
1.58 55 162 183
1.5825 55 163 182
1.585 55 162 183
1.5875 54 163 183
1.59 54 164 182
1.5925 53 165 182
1.595 53 165 182
1.5975 53 164 183
1.6 53 164 183
1.6025 53 164 183
1.605 54 164 182
1.6075 54 163 183
1.61 54 163 183
1.6125 54 163 183
1.615 54 163 183
1.6175 54 162 184
1.62 54 163 183
1.6225 54 162 184
1.625 55 162 183
1.6275 56 162 182
1.63 56 162 182
1.6325 57 162 181
1.635 57 163 180
1.6375 57 162 181
1.64 58 161 181
1.6425 58 161 181
1.645 59 161 180
1.6475 58 162 180
1.65 58 162 180
1.6525 58 162 180
1.655 58 161 181
1.6575 58 161 181
1.66 59 161 180
1.6625 60 160 180
1.665 59 160 181
1.6675 59 160 181
1.67 59 160 181
1.6725 59 160 181
1.675 58 160 182
1.6775 59 159 182
1.68 59 158 183
1.6825 58 158 184
1.685 58 158 184
1.6875 58 157 185
1.69 59 157 184
1.6925 59 156 185
1.695 59 155 186
1.6975 58 155 187
1.7 57 156 187
1.7025 57 155 188
1.705 56 155 189
1.7075 56 155 189
1.71 56 154 190
1.7125 56 154 190
1.715 56 155 189
1.7175 56 155 189
1.72 56 154 190
1.7225 55 155 190
1.725 56 155 189
1.7275 56 154 190
1.73 55 154 191
1.7325 56 154 190
1.735 56 154 190
1.7375 57 153 190
1.74 56 153 191
1.7425 56 153 191
1.745 56 152 192
1.7475 56 152 192
1.75 56 152 192
1.7525 56 152 192
1.755 57 151 192
1.7575 58 151 191
1.76 59 150 191
1.7625 58 151 191
1.765 58 150 192
1.7675 58 150 192
1.77 58 150 192
1.7725 59 149 192
1.775 60 148 192
1.7775 59 149 192
1.78 58 150 192
1.7825 57 151 192
1.785 57 150 193
1.7875 57 149 194
1.79 57 149 194
1.7925 57 149 194
1.795 57 148 195
1.7975 57 149 194
1.8 56 150 194
1.8025 56 149 195
1.805 56 148 196
1.8075 55 149 196
1.81 56 149 195
1.8125 56 149 195
1.815 56 149 195
1.8175 56 149 195
1.82 56 148 196
1.8225 56 147 197
1.825 56 147 197
1.8275 55 147 198
1.83 55 147 198
1.8325 55 147 198
1.835 54 148 198
1.8375 54 147 199
1.84 53 148 199
1.8425 54 148 198
1.845 54 147 199
1.8475 54 146 200
1.85 55 146 199
1.8525 55 146 199
1.855 54 147 199
1.8575 55 147 198
1.86 55 147 198
1.8625 54 147 199
1.865 55 147 198
1.8675 55 147 198
1.87 55 147 198
1.8725 54 148 198
1.875 54 148 198
1.8775 54 148 198
1.88 54 147 199
1.8825 54 146 200
1.885 54 146 200
1.8875 54 146 200
1.89 54 145 201
1.8925 54 146 200
1.895 54 146 200
1.8975 54 146 200
1.9 55 145 200
1.9025 55 144 201
1.905 55 144 201
1.9075 56 143 201
1.91 56 142 202
1.9125 57 142 201
1.915 57 142 201
1.9175 58 142 200
1.92 59 141 200
1.9225 58 142 200
1.925 58 141 201
1.9275 59 141 200
1.93 59 141 200
1.9325 59 141 200
1.935 59 141 200
1.9375 58 142 200
1.94 58 141 201
1.9425 59 141 200
1.945 59 140 201
1.9475 60 139 201
1.95 60 139 201
1.9525 59 140 201
1.955 60 140 200
1.9575 60 140 200
1.96 60 140 200
1.9625 60 140 200
1.965 60 140 200
1.9675 60 140 200
1.97 61 139 200
1.9725 62 139 199
1.975 61 140 199
1.9775 60 140 200
1.98 60 140 200
1.9825 59 141 200
1.985 59 141 200
1.9875 60 140 200
1.99 60 141 199
1.9925 60 140 200
1.995 60 139 201
1.9975 60 138 202
2 60 138 202
2.0025 59 139 202
2.005 59 139 202
2.0075 59 139 202
2.01 59 139 202
2.0125 58 140 202
2.015 58 139 203
2.0175 58 140 202
2.02 58 141 201
2.0225 58 141 201
2.025 57 142 201
2.0275 57 141 202
2.03 57 141 202
2.0325 56 142 202
2.035 56 141 203
2.0375 56 141 203
2.04 57 140 203
2.0425 57 140 203
2.045 57 140 203
2.0475 57 139 204
2.05 57 139 204
2.0525 57 139 204
2.055 57 138 205
2.0575 57 139 204
2.06 58 139 203
2.0625 59 139 202
2.065 59 139 202
2.0675 59 139 202
2.07 59 139 202
2.0725 59 138 203
2.075 58 138 204
2.0775 59 137 204
2.08 59 136 205
2.0825 60 136 204
2.085 60 136 204
2.0875 60 136 204
2.09 60 136 204
2.0925 59 137 204
2.095 59 137 204
2.0975 59 137 204
2.1 60 136 204
2.1025 60 136 204
2.105 60 136 204
2.1075 60 137 203
2.11 60 137 203
2.1125 60 137 203
2.115 61 137 202
2.1175 60 137 203
2.12 60 137 203
2.1225 59 138 203
2.125 59 138 203
2.1275 59 137 204
2.13 60 137 203
2.1325 60 138 202
2.135 60 137 203
2.1375 59 138 203
2.14 59 138 203
2.1425 59 138 203
2.145 58 139 203
2.1475 57 139 204
2.15 57 139 204
2.1525 56 140 204
2.155 56 141 203
2.1575 56 141 203
2.16 56 141 203
2.1625 55 141 204
2.165 55 141 204
2.1675 55 141 204
2.17 54 142 204
2.1725 54 142 204
2.175 54 142 204
2.1775 55 142 203
2.18 55 141 204
2.1825 55 141 204
2.185 55 141 204
2.1875 55 141 204
2.19 54 142 204
2.1925 54 141 205
2.195 54 142 204
2.1975 54 142 204
2.2 55 142 203
2.2025 56 142 202
2.205 56 142 202
2.2075 55 143 202
2.21 55 143 202
2.2125 56 143 201
2.215 56 143 201
2.2175 56 143 201
2.22 56 143 201
2.2225 56 143 201
2.225 56 143 201
2.2275 57 143 200
2.23 57 144 199
2.2325 57 144 199
2.235 57 143 200
2.2375 57 143 200
2.24 57 143 200
2.2425 57 142 201
2.245 57 142 201
2.2475 57 142 201
2.25 57 141 202
2.2525 58 141 201
2.255 57 142 201
2.2575 57 141 202
2.26 57 140 203
2.2625 57 139 204
2.265 56 139 205
2.2675 56 139 205
2.27 56 139 205
2.2725 56 139 205
2.275 56 138 206
2.2775 55 139 206
2.28 55 139 206
2.2825 55 138 207
2.285 56 138 206
2.2875 56 137 207
2.29 55 138 207
2.2925 55 138 207
2.295 55 138 207
2.2975 55 137 208
2.3 56 137 207
2.3025 57 137 206
2.305 57 137 206
2.3075 57 137 206
2.31 57 137 206
