A
t S I R
29.8 101.298 121.051 236.846
29.9 101.297 121.111 236.967
30 101.296 121.171 237.088
30.1 101.296 121.231 237.208
30.2 101.295 121.291 237.328
30.3 101.295 121.351 237.449
30.4 101.294 121.411 237.569
30.5 101.294 121.471 237.689
30.6 101.293 121.531 237.809
30.7 101.292 121.591 237.929
30.8 101.292 121.651 238.049
30.9 101.291 121.711 238.169
31 101.291 121.771 238.289
31.1 101.29 121.83 238.408
31.2 101.29 121.89 238.528
31.3 101.289 121.95 238.647
31.4 101.288 122.009 238.767
31.5 101.288 122.069 238.886
31.6 101.287 122.128 239.005
31.7 101.287 122.188 239.125
31.8 101.286 122.247 239.244
31.9 101.286 122.307 239.363
32 101.285 122.366 239.482
32.1 101.284 122.426 239.6
32.2 101.284 122.485 239.719
32.3 101.283 122.544 239.838
32.4 101.283 122.603 239.957
32.5 101.282 122.663 240.075
32.6 101.282 122.722 240.194
32.7 101.281 122.781 240.312
32.8 101.281 122.84 240.43
32.9 101.28 122.899 240.548
33 101.279 122.958 240.667
33.1 101.279 123.017 240.785
33.2 101.278 123.076 240.903
33.3 101.278 123.135 241.021
33.4 101.277 123.194 241.138
33.5 101.277 123.252 241.256
33.6 101.276 123.311 241.374
33.7 101.276 123.37 241.491
33.8 101.275 123.428 241.609
33.9 101.275 123.487 241.726
34 101.274 123.546 241.844
34.1 101.273 123.604 241.961
34.2 101.273 123.663 242.078
34.3 101.272 123.721 242.195
34.4 101.272 123.78 242.312
34.5 101.271 123.838 242.429
34.6 101.271 123.896 242.546
34.7 101.27 123.955 242.663
34.8 101.27 124.013 242.78
34.9 101.269 124.071 242.896
35 101.269 124.13 243.013
35.1 101.268 124.188 243.129
35.2 101.268 124.246 243.246
35.3 101.267 124.304 243.362
35.4 101.266 124.362 243.478
35.5 101.266 124.42 243.595
35.6 101.265 124.478 243.711
35.7 101.265 124.536 243.827
35.8 101.264 124.594 243.943
35.9 101.264 124.652 244.059
36 101.263 124.709 244.174
36.1 101.263 124.767 244.29
36.2 101.262 124.825 244.406
36.3 101.262 124.883 244.521
36.4 101.261 124.94 244.637
36.5 101.261 124.998 244.752
36.6 101.26 125.056 244.868
36.7 101.26 125.113 244.983
36.8 101.259 125.171 245.098
36.9 101.259 125.228 245.213
37 101.258 125.285 245.328
37.1 101.258 125.343 245.443
37.2 101.257 125.4 245.558
37.3 101.257 125.458 245.673
37.4 101.256 125.515 245.787
37.5 101.256 125.572 245.902
37.6 101.255 125.629 246.017
37.7 101.254 125.686 246.131
37.8 101.254 125.744 246.245
37.9 101.253 125.801 246.36
38 101.253 125.858 246.474
38.1 101.252 125.915 246.588
38.2 101.252 125.972 246.702
38.3 101.251 126.029 246.816
38.4 101.251 126.085 246.93
38.5 101.25 126.142 247.044
38.6 101.25 126.199 247.158
38.7 101.249 126.256 247.272
38.8 101.249 126.313 247.385
38.9 101.248 126.369 247.499
39 101.248 126.426 247.612
39.1 101.247 126.483 247.726
39.2 101.247 126.539 247.839
39.3 101.246 126.596 247.952
39.4 101.246 126.652 248.066
39.5 101.245 126.709 248.179
39.6 101.245 126.765 248.292
39.7 101.244 126.822 248.405
39.8 101.244 126.878 248.518
39.9 101.243 126.934 248.63
40 101.243 126.991 248.743
40.1 101.242 127.047 248.856
40.2 101.242 127.103 248.968
40.3 101.241 127.159 249.081
40.4 101.241 127.215 249.193
40.5 101.24 127.271 249.306
40.6 101.24 127.328 249.418
40.7 101.24 127.384 249.53
40.8 101.239 127.44 249.642
40.9 101.239 127.496 249.754
41 101.238 127.551 249.866
41.1 101.238 127.607 249.978
41.2 101.237 127.663 250.09
41.3 101.237 127.719 250.202
41.4 101.236 127.775 250.314
41.5 101.236 127.83 250.425
41.6 101.235 127.886 250.537
41.7 101.235 127.942 250.648
41.8 101.234 127.997 250.759
41.9 101.234 128.053 250.871
42 101.233 128.108 250.982
42.1 101.233 128.164 251.093
42.2 101.232 128.219 251.204
42.3 101.232 128.275 251.315
42.4 101.231 128.33 251.426
42.5 101.231 128.386 251.537
42.6 101.23 128.441 251.648
42.7 101.23 128.496 251.759
42.8 101.229 128.551 251.869
42.9 101.229 128.607 251.98
43 101.229 128.662 252.09
43.1 101.228 128.717 252.201
43.2 101.228 128.772 252.311
43.3 101.227 128.827 252.421
43.4 101.227 128.882 252.532
43.5 101.226 128.937 252.642
43.6 101.226 128.992 252.752
43.7 101.225 129.047 252.862
43.8 101.225 129.102 252.972
43.9 101.224 129.157 253.081
44 101.224 129.212 253.191
44.1 101.223 129.266 253.301
44.2 101.223 129.321 253.41
44.3 101.222 129.376 253.52
